City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Nhamunda,BR,2022-08-10 03:55:51,-2.1861,-56.7131,297.27,56,47,1.06
123,Saint George,US,2022-08-10 03:55:52,37.1041,-113.5841,302.48,46,40,3.6
124,Juba,SS,2022-08-10 03:55:52,4.8517,31.5825,293.82,94,100,1.29
125,Kita,ML,2022-08-10 03:55:52,13.0349,-9.4895,296.75,94,100,2.12
126,Biak,ID,2022-08-10 03:55:53,-0.9131,122.8766,299.7,84,47,3.44
127,New Norfolk,AU,2022-08-10 03:55:53,-42.7826,147.0587,285.88,37,18,1.62
128,Cape Town,ZA,2022-08-10 03:51:04,-33.9258,18.4232,286.55,91,75,8.23
129,Lexington Park,US,2022-08-10 03:51:10,38.2668,-76.4538,302.4,90,0,1.54
130,Kavieng,PG,2022-08-10 03:55:53,-2.5744,150.7967,299.86,81,94,3.11
131,Shizukuishi,JP,2022-08-10 03:55:54,39.6833,140.9833,301.58,94,100,3.22
132,Guilin,CN,2022-08-10 03:55:54,25.2819,110.2864,304.21,62,96,1.92
133,Yumbing,PH,2022-08-10 03:55:55,9.2393,124.6578,301.5,72,57,0.01
134,Vardo,NO,2022-08-10 03:55:55,70.3705,31.1107,284.14,93,100,2.57
135,Phuket,TH,2022-08-10 03:49:26,8.0,98.25,304.27,66,20,6.17
136,Provideniya,RU,2022-08-10 03:55:55,64.3833,-173.3,283.35,87,75,7.15
137,Kvam,NO,2022-08-10 03:55:56,61.6656,9.6898,287.05,88,100,1.01
138,Harer,ET,2022-08-10 03:55:56,9.3094,42.1258,288.76,73,100,4.85
139,Tulsipur,NP,2022-08-10 03:55:56,28.131,82.2973,304.98,71,90,2.2
140,Bethel,US,2022-08-10 03:54:59,41.3712,-73.414,301.08,77,24,2.6
141,Burnie,AU,2022-08-10 03:56:57,-41.0667,145.9167,284.23,64,84,5.13
142,Bredasdorp,ZA,2022-08-10 03:56:57,-34.5322,20.0403,284.01,76,90,3.82
143,Kurilsk,RU,2022-08-10 03:56:57,45.2333,147.8833,292.48,82,100,2.27
144,Berlevag,NO,2022-08-10 03:56:58,70.8578,29.0864,285.15,82,100,0.51
145,Port Alfred,ZA,2022-08-10 03:56:58,-33.5906,26.891,287.14,86,60,0.89
146,Pangkalanbuun,ID,2022-08-10 03:56:58,-2.6833,111.6167,302.49,75,68,1.8
147,Venustiano Carranza,MX,2022-08-10 03:56:59,19.43,-99.0992,288.79,88,100,0.0
148,Tres Lagoas,BR,2022-08-10 03:56:59,-20.7511,-51.6783,287.29,88,100,4.01
149,Xichang,CN,2022-08-10 03:56:59,27.8964,102.2634,299.92,64,36,1.13
150,Kurri Kurri,AU,2022-08-10 03:57:00,-32.8167,151.4833,290.81,68,64,2.68
151,Fukue,JP,2022-08-10 03:57:00,32.6881,128.8419,304.35,74,75,4.63
152,Omboue,GA,2022-08-10 03:57:00,-1.5746,9.2618,295.71,87,100,3.08
153,Nalut,LY,2022-08-10 03:57:00,30.3333,10.85,298.02,57,0,4.62
154,Stokmarknes,NO,2022-08-10 03:57:01,68.5646,14.9108,285.14,82,75,8.75
155,Fritzlar,DE,2022-08-10 03:57:01,51.1333,9.2833,286.98,77,20,2.06
